Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Option4 Name,Option4 Value,Option5 Name,Option5 Value,Option6 Name,Option6 Value,Option7 Name,Option7 Value
\u76f8\u6846\u91d1\u5c5e\u5fbd\u7ae0-\u7ee7\u627f\u4eba\u7684\u8096\u50cf-,相框金属徽章-继承人的肖像 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,继承人的肖像,27.0,,,,,,,,,deny,manual,27.0,30.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i2/2206488662066/O1CN01Mr8V6N1R8HHEJI57L_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u660e\u4fe1\u7247\u5957\u7ec4-\u98ce\u5c1a\u901f\u90121.0-,明信片套组-风尚速递1.0 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,风尚速递1.0,12.6,,,,,,,,,deny,manual,12.6,14.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i1/2206488662066/O1CN01IFQn9h1R8HHFy1H7Z_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u76f2\u76d2\u4e9a\u514b\u529b\u6302\u4ef6-\u901a\u884c\u8ba4\u8bc143.0-,盲盒亚克力挂件-通行认证43.0 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,随机一抽,13.5,整盒,261.0,,,,,,,deny,manual,13.5,15.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i3/2206488662066/O1CN014hLxOY1R8HHDjR8W1_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u8d34\u7eb8\u5305-\u63ed\u5e55\u8005\u4eec-,贴纸包-揭幕者们 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,揭幕者们,9.0,,,,,,,,,deny,manual,9.0,10.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i3/2206488662066/O1CN01s8QnwX1R8HHDWKkWq_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u4e9a\u514b\u529b\u6302\u4ef6-\u5851\u5fc3/\u5723\u7ea6\u9001\u846c\u4eba/\u7f04\u9ed8\u5fb7\u514b\u8428\u65af/\u6b62\u9882-\u5b98\u65b9,亚克力挂件-塑心/圣约送葬人/缄默德克萨斯/止颂 官方,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,塑心（无我唯识VER.）,22.5,圣约送葬人（众志归一VER.）,22.5,缄默德克萨斯（幽兰秘辛VER.）,22.5,,,,,deny,manual,22.5,25.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i1/2206488662066/O1CN01NoUrRs1R8HHDUaC3Z_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,止颂（幻火VER.）,22.5,,,,,,,
\u884c\u674e\u724c-\u522b\u52a8\u6211\u4e1c\u897f/\u8f7b\u70b9\u8f7b\u70b9-,行李牌-别动我东西/轻点轻点 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,别动我东西,25.2,轻点轻点,25.2,,,,,,,deny,manual,25.2,28.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i3/2206488662066/O1CN01H2xoqO1R8HHEuOdk7_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u660e\u4fe1\u7247\u5957\u7ec4-\u4eba\u4e8b\u90e8\u7b80\u53864.0-,明信片套组-人事部简历4.0 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,人事部简历4.0,34.2,,,,,,,,,deny,manual,34.2,38.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i3/2206488662066/O1CN01a571hj1R8HHGPvTzD_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u6d41\u6c99\u6446\u4ef6-\u63ed\u5e55\u8005\u4eec-,流沙摆件-揭幕者们 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,揭幕者们,79.2,,,,,,,,,deny,manual,79.2,88.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i1/2206488662066/O1CN01VRd1gl1R8HHEHFPnt_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u63d0\u82b1\u56f4\u5dfe-\u8f6f\u4e4e\u4e4e/\u72c2\u6b22\u8282,提花围巾-软乎乎/狂欢节,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,软乎乎,71.1,狂欢节,71.1,,,,,,,deny,manual,71.1,79.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i1/2206488662066/O1CN01Wl6L7p1R8HHCnzR25_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u957f\u67c4\u4f1e-\u5b64\u72fc-,长柄伞-孤狼 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,孤狼,108.0,,,,,,,,,deny,manual,108.0,120.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i4/2206488662066/O1CN013y43HW1R8HHFPkOr0_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
\u6587\u4ef6\u5939-\u72c2\u6b22\u8282-,文件夹-狂欢节 ,,Nomad Teekron,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,,,TRUE,狂欢节,13.5,,,,,,,,,deny,manual,13.5,15.0,TRUE,TRUE,,https://img.alicdn.com/imgextra/i2/2206488662066/O1CN01CFgfu51R8HHDbLmCK_!!0-item_pic.jpg_q50.jpg_.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,,,,,,,,,
